Algoritmo,Semilla,Escenario_Modo,BATCH_SIZE,LEARNING_RATE,EMB_SIZE,ATTN_HEADS,ENC_LAYERS,DEC_LAYERS,Energia_QUBO,Final_Accuracy,Final_Loss,Execution_Time_Seconds,Factible,Origen_Datos,RMSE
Simulación VarQITE Sweep (FT3) - High,42,high,128,5e-05,1024,8,1,1,15.9933,0.86121,1.344684,864.88,1,"Entrenado por Slurm GPU (Nuevo, Fila 320)",20.5516
Simulación VarQITE Sweep (FT3) - Ideal,99,ideal,32,0.001,512,1,2,2,16.0311,0.165886,5.668631,2679.25,1,"Entrenado por Slurm GPU (Nuevo, Fila 310)",20.5894
Simulación VarQITE Sweep (FT3) - Low,99,low,32,0.001,512,1,2,2,16.0311,0.165886,5.668631,2679.25,1,"Entrenado por Slurm GPU (Nuevo, Fila 310)",20.5894
Simulación VarQITE Sweep (FT3) - Medium,99,medium,32,0.001,512,1,2,2,16.0311,0.165886,5.668631,2679.25,1,"Entrenado por Slurm GPU (Nuevo, Fila 310)",20.5894
Simulación VarQITE Sweep (FT3) - High,99,high,32,0.001,512,1,2,2,16.0311,0.165886,5.668631,2679.25,1,"Entrenado por Slurm GPU (Nuevo, Fila 310)",20.5894
Simulación VarQITE Sweep (FT3) - Ideal,123,ideal,64,5e-05,256,4,2,3,15.9737,0.876096,1.284004,857.74,1,"Entrenado por Slurm GPU (Nuevo, Fila 313)",20.5319
Simulación VarQITE Sweep (FT3) - Low,123,low,64,5e-05,256,4,2,3,15.9737,0.876096,1.284004,857.74,1,"Entrenado por Slurm GPU (Nuevo, Fila 313)",20.5319
Simulación VarQITE Sweep (FT3) - Medium,123,medium,64,5e-05,256,4,2,3,15.9737,0.876096,1.284004,857.74,1,"Entrenado por Slurm GPU (Nuevo, Fila 313)",20.53193
Simulación VarQITE Sweep (FT3) - High,123,high,64,5e-05,256,4,2,3,15.9737,0.876096,1.284004,857.74,1,"Entrenado por Slurm GPU (Nuevo, Fila 313)",20.53193
Simulación VarQITE Sweep (FT3) - Ideal,1001,ideal,32,0.0005,64,4,4,6,16.1162,0.858025,1.326633,1556.57,1,"Entrenado por Slurm GPU (Nuevo, Fila 319)",20.6745
Simulación VarQITE Sweep (FT3) - Low,1001,low,32,0.0005,64,4,4,6,16.1162,0.858025,1.326633,1556.57,1,"Entrenado por Slurm GPU (Nuevo, Fila 319)",20.6745
Simulación VarQITE Sweep (FT3) - Medium,1001,medium,32,0.0005,64,4,4,6,16.1162,0.858025,1.326633,1556.57,1,"Entrenado por Slurm GPU (Nuevo, Fila 319)",20.674451
Simulación VarQITE Sweep (FT3) - High,1001,high,32,0.0005,64,4,4,6,16.1162,0.858025,1.326633,1556.57,1,"Entrenado por Slurm GPU (Nuevo, Fila 319)",20.674451
