BATCH_SIZE,LEARNING_RATE,EMB_SIZE,ATTN_HEADS,ENC_LAYERS,DEC_LAYERS,Final_Accuracy,Final_Loss,Execution_Time_Seconds
512,1e-06,512,8,4,8,0.865549,1.361382,495.33
512,1e-06,16,16,8,8,0.021766,9.728219,33.13
512,1e-06,64,8,1,8,0.233011,6.573413,29.98
512,1e-06,16,8,5,5,0.071857,9.331383,21.74
512,1e-06,48,16,8,4,0.175023,7.217437,26.69
512,1e-06,768,16,6,3,0.869001,1.376951,658.16
512,1e-06,1024,2,2,2,0.868271,1.255627,543.22
512,1e-06,512,1,3,2,0.871027,1.361649,192.09
512,1e-06,1024,4,4,5,0.870248,1.346012,1224.55
512,1e-06,32,8,5,6,0.197365,7.869578,22.86
512,1e-06,48,1,5,1,0.162908,8.916512,15.07
512,1e-06,768,1,1,2,0.871209,1.200675,273.12
512,1e-06,32,1,2,3,0.089917,9.261182,17.02
512,1e-06,32,2,4,4,0.195072,8.352757,20.35
512,1e-06,32,2,5,1,0.039818,9.361529,13.8
512,1e-06,64,16,2,5,0.218495,6.903558,26.26
512,1e-06,16,4,6,3,0.039981,9.425396,19.04
512,1e-06,32,8,3,3,0.077044,8.705099,15.84
512,1e-06,128,2,5,8,0.809612,2.91084,67.9
512,1e-06,256,16,3,5,0.856901,1.785126,118.68
512,1e-06,512,2,6,6,0.869149,1.369673,462.93
512,1e-06,48,1,6,2,0.213886,8.101373,19.91
512,1e-06,64,1,3,1,0.169755,8.507914,14.83
512,1e-06,32,2,8,4,0.225996,8.050578,26.61
512,1e-06,32,16,5,5,0.183033,8.008111,23.3
512,1e-06,48,2,2,4,0.169755,7.603563,17.8
512,1e-06,48,1,3,3,0.176909,7.702857,17.25
512,1e-06,96,16,2,1,0.269573,7.606205,16.63
1024,1e-06,64,4,8,3,0.243811,7.359361,22.4
1024,1e-06,192,1,5,8,0.789383,2.733166,107.32
1024,1e-06,512,2,8,2,0.864226,1.627758,316.53
1024,1e-06,16,2,8,1,0.015364,10.48274,12.02
1024,1e-06,192,1,8,5,0.712839,3.109058,95.25
1024,1e-06,256,16,2,2,0.528989,4.379968,53.47
1024,1e-06,1024,1,3,4,0.873252,1.266124,964.28
1024,1e-06,64,4,6,4,0.230569,7.587671,23.48
1024,1e-06,192,2,6,5,0.719053,3.179943,90.11
1024,1e-06,768,8,1,2,0.86578,1.380476,269.87
1024,1e-06,48,8,8,6,0.203167,7.806502,28.06
1024,1e-06,192,8,6,6,0.726203,3.074389,99.17
1024,1e-06,768,8,5,2,0.867219,1.466784,509.32
1024,1e-06,768,8,4,6,0.866729,1.322011,820.64
1024,1e-06,16,2,5,8,0.023542,9.638648,18.75
1024,1e-06,32,4,6,8,0.040837,8.505047,20.28
1024,1e-06,64,8,1,8,0.161474,7.404059,25.8
1024,1e-06,256,8,3,4,0.773152,2.802424,93.78
1024,1e-06,48,16,1,6,0.17845,8.489743,23.17
1024,1e-06,96,2,5,5,0.193276,6.489937,34.4
1024,1e-06,1024,2,5,2,0.871585,1.275471,861.43
1024,1e-06,32,2,3,1,0.054603,9.774806,9.19
1024,1e-06,192,4,5,4,0.561667,3.894489,73.0
1024,1e-06,192,1,4,8,0.760843,2.789024,107.77
1024,1e-06,768,8,4,5,0.863852,1.324677,720.94
1024,1e-06,64,8,1,1,0.166701,9.695234,8.55
1024,1e-06,48,1,3,6,0.175093,8.271313,23.05
1024,1e-06,256,4,4,8,0.839252,2.005742,152.47
1024,1e-06,256,1,6,6,0.836597,2.03546,140.42
32,5e-05,256,4,6,4,0.87401,1.246218,1894.25
64,0.0001,256,1,2,6,0.881446,1.298249,1473.05
32,5e-05,256,4,2,6,0.872997,1.277501,1799.01
